obj_id,species,speciesMatched,trait_name,value
Crowther-Maynard_1,Armillaria_gallica,Armillaria gallica,latitude,30.465247
Crowther-Maynard_2,Armillaria_gallica,Armillaria gallica,latitude,43.402553
Crowther-Maynard_3,Armillaria_gallica,Armillaria gallica,latitude,30.465247
Crowther-Maynard_4,Armillaria_gallica,Armillaria gallica,latitude,31.105861
Crowther-Maynard_5,Armillaria_gallica,Armillaria gallica,latitude,31.105861
Crowther-Maynard_6,Armillaria_gallica,Armillaria gallica,latitude,30.465247
Crowther-Maynard_7,Armillaria_gallica,Armillaria gallica,latitude,43.557132
Crowther-Maynard_8,Armillaria_gallica,Armillaria gallica,latitude,44.912304
Crowther-Maynard_9,Armillaria_gallica,Armillaria gallica,latitude,44.886161
Crowther-Maynard_10,Armillaria_gallica,Armillaria gallica,latitude,43.773821
Crowther-Maynard_11,Asterostroma_muscicola,Asterostroma muscicola,latitude,18.32047
Crowther-Maynard_12,Armillaria_sinapina,Armillaria sinapina,latitude,46.517665
Crowther-Maynard_13,Armillaria_tabescens,Armillaria tabescens,latitude,41.022359
Crowther-Maynard_14,Armillaria_tabescens,Armillaria tabescens,latitude,29.946494
Crowther-Maynard_15,Earliella_scabrosa,Earliella scabrosa,latitude,18.298306
Crowther-Maynard_16,Fomes_fomentarius,Fomes fomentarius,latitude,43.227069
Crowther-Maynard_17,Hyphodontia_crustosa,Basidioradulum crustosum,latitude,60.734518
Crowther-Maynard_18,Hyphoderma_setigerum,Hyphoderma setigerum,latitude,43.557132
Crowther-Maynard_19,Hyphoderma_setigerum,Hyphoderma setigerum,latitude,18.181083
Crowther-Maynard_20,Laetiporus_caribensis,Laetiporus caribensis,latitude,16.256538
Crowther-Maynard_21,Laetiporus_conifericola,Laetiporus conifericola,latitude,49.39377
Crowther-Maynard_22,Lentinus_crinitus,Lentinus crinitus,latitude,18.298306
Crowther-Maynard_23,Laetiporus_gilbertsonii,Laetiporus gilbertsonii,latitude,36.986923
Crowther-Maynard_24,Laetiporus_huroniensis,Laetiporus huroniensis,latitude,46.824261
Crowther-Maynard_25,Mycoacia_meridionalis,Mycoacia meridionalis,latitude,18.181083
Crowther-Maynard_26,Merulius_tremellosus,Phlebia tremellosa,latitude,43.086646
Crowther-Maynard_27,Merulius_tremellosus,Phlebia tremellosa,latitude,16.958087
Crowther-Maynard_28,Porogramme_albocincta,Porogramme albocincta,latitude,18.298306
Crowther-Maynard_29,Phlebiopsis_flavidoalba,Phlebiopsis flavidoalba,latitude,37.530421
Crowther-Maynard_30,Phlebiopsis_flavidoalba,Phlebiopsis flavidoalba,latitude,18.181083
Crowther-Maynard_31,Phellinus_gilvus,Phellinus gilvus,latitude,42.694296
Crowther-Maynard_32,Phellinus_hartigii,Phellinus hartigii,latitude,44.931524
Crowther-Maynard_33,Porodisculus_pendulus,Porodisculus pendulus,latitude,43.55015
Crowther-Maynard_34,Phellinus_robiniae,Phellinus robiniae,latitude,43.013434
Crowther-Maynard_35,Phellinus_robiniae,Phellinus robiniae,latitude,34.372912
Crowther-Maynard_36,Phlebia_rufa,Phlebia rufa,latitude,35.518255
Crowther-Maynard_37,Phlebia_rufa,Phlebia rufa,latitude,19.069338
Crowther-Maynard_38,Pycnoporus_sanguineus,Pycnoporus sanguineus,latitude,18.105392
Crowther-Maynard_39,Resinicium_saccharicola,Resinicium saccharicola,latitude,18.294558
Crowther-Maynard_40,Schizophyllum_commune,Schizophyllum commune,latitude,43.227069
Crowther-Maynard_41,Schizophyllum_commune,Schizophyllum commune,latitude,18.25992
Crowther-Maynard_42,Tyromyces_chioneus,Tyromyces chioneus,latitude,46.624065
Crowther-Maynard_43,Veluticeps_abietina,Veluticeps abietina,latitude,57.900256
Crowther-Maynard_44,Xylobolus_subpileatus,Xylobolus subpileatus,latitude,30.679683
Crowther-Maynard_1,Armillaria_gallica,Armillaria gallica,longitude,-89.040298
Crowther-Maynard_2,Armillaria_gallica,Armillaria gallica,longitude,-88.70347
Crowther-Maynard_3,Armillaria_gallica,Armillaria gallica,longitude,-89.040298
Crowther-Maynard_4,Armillaria_gallica,Armillaria gallica,longitude,-88.930435
Crowther-Maynard_5,Armillaria_gallica,Armillaria gallica,longitude,-88.930435
Crowther-Maynard_6,Armillaria_gallica,Armillaria gallica,longitude,-89.040298
Crowther-Maynard_7,Armillaria_gallica,Armillaria gallica,longitude,-89.641414
Crowther-Maynard_8,Armillaria_gallica,Armillaria gallica,longitude,-88.594208
Crowther-Maynard_9,Armillaria_gallica,Armillaria gallica,longitude,-87.859583
Crowther-Maynard_10,Armillaria_gallica,Armillaria gallica,longitude,-87.718678
Crowther-Maynard_11,Asterostroma_muscicola,Asterostroma muscicola,longitude,-65.816889
Crowther-Maynard_12,Armillaria_sinapina,Armillaria sinapina,longitude,-86.410071
Crowther-Maynard_13,Armillaria_tabescens,Armillaria tabescens,longitude,-80.648965
Crowther-Maynard_14,Armillaria_tabescens,Armillaria tabescens,longitude,-90.126196
Crowther-Maynard_15,Earliella_scabrosa,Earliella scabrosa,longitude,-65.777922
Crowther-Maynard_16,Fomes_fomentarius,Fomes fomentarius,longitude,-89.723847
Crowther-Maynard_17,Hyphodontia_crustosa,Basidioradulum crustosum,longitude,-146.691177
Crowther-Maynard_18,Hyphoderma_setigerum,Hyphoderma setigerum,longitude,-89.641414
Crowther-Maynard_19,Hyphoderma_setigerum,Hyphoderma setigerum,longitude,-76.725883
